case_id,2d_time_seconds,3d_time_seconds,ensemble_time_seconds,total_time_seconds
case_001_0000,2.785069107,2.786056153,0,5.571125260
case_002_0000,2.776312744,2.831242372,0,5.607555116
case_003_0000,2.777065492,2.798756291,0,5.575821783
case_004_0000,2.776843836,2.711590632,0,5.488434468
case_005_0000,2.776614405,2.760476543,0,5.537090948
case_006_0000,2.761414701,2.790296505,0,5.551711206
case_007_0000,2.740384040,2.757051875,0,5.497435915
case_008_0000,2.723781033,2.766029618,0,5.489810651
case_009_0000,2.731005163,2.761853937,0,5.492859100
case_010_0000,2.789957539,2.742743271,0,5.532700810
case_011_0000,2.740475924,2.767861608,0,5.508337532
case_012_0000,2.784672796,2.768328339,0,5.553001135
case_013_0000,2.768102726,2.812696390,0,5.580799116
case_014_0000,2.765085338,2.820438584,0,5.585523922
case_015_0000,2.767693549,2.793301970,0,5.560995519
case_016_0000,2.753438640,2.797431647,0,5.550870287
case_017_0000,2.758464475,2.747878287,0,5.506342762
case_018_0000,2.754932645,2.811739464,0,5.566672109
case_019_0000,2.748988655,2.786180943,0,5.535169598
case_020_0000,2.708659678,2.831245500,0,5.539905178
case_021_0000,2.723308146,2.766485464,0,5.489793610
case_022_0000,2.742048622,2.741219904,0,5.483268526
case_023_0000,2.807330830,2.812780842,0,5.620111672
case_024_0000,2.815315821,2.757765992,0,5.573081813
case_025_0000,2.769423231,2.761885703,0,5.531308934
case_026_0000,2.757007379,2.790064984,0,5.547072363
case_027_0000,2.745105906,2.763056023,0,5.508161929
case_028_0000,2.765873711,3.058386642,0,5.824260353
case_029_0000,2.747629648,2.787426630,0,5.535056278
case_030_0000,2.806410693,2.755905323,0,5.562316016
case_031_0000,2.764945994,2.754839546,0,5.519785540
case_032_0000,2.772970475,2.737084830,0,5.510055305
case_033_0000,2.785940912,2.769452401,0,5.555393313
case_034_0000,2.743845829,2.791828838,0,5.535674667
case_035_0000,2.746977811,2.737795989,0,5.484773800
case_036_0000,2.730510012,2.795809862,0,5.526319874
case_037_0000,2.808437851,2.824913302,0,5.633351153
case_038_0000,2.739498034,2.754034431,0,5.493532465
case_039_0000,2.750628578,2.764400286,0,5.515028864
case_040_0000,2.799763651,2.814402761,0,5.614166412
case_041_0000,2.728481720,2.745752740,0,5.474234460
case_042_0000,2.757746904,2.817884918,0,5.575631822
case_043_0000,2.766626296,2.764209155,0,5.530835451
case_044_0000,2.762814212,2.770745324,0,5.533559536
case_045_0000,2.743503402,2.740768800,0,5.484272202
case_046_0000,2.738686257,2.736990422,0,5.475676679
case_047_0000,2.805839270,2.727583750,0,5.533423020
case_048_0000,2.745836832,2.806196999,0,5.552033831
case_049_0000,2.783537679,2.776682985,0,5.560220664
case_050_0000,2.781634862,2.728759068,0,5.510393930
case_051_0000,2.781670059,2.757586506,0,5.539256565
case_052_0000,2.703299238,2.789042030,0,5.492341268
case_053_0000,2.715007832,2.812402387,0,5.527410219
case_054_0000,2.719685398,2.739929209,0,5.459614607
case_055_0000,2.769221039,2.743575108,0,5.512796147
case_056_0000,2.736598553,2.724221475,0,5.460820028
case_057_0000,2.750485181,2.822203141,0,5.572688322
case_058_0000,2.755696215,2.747249142,0,5.502945357
case_059_0000,2.766140392,2.808182854,0,5.574323246
case_060_0000,2.773777929,2.693910606,0,5.467688535
case_061_0000,2.773259318,2.841148419,0,5.614407737
case_062_0000,2.713705363,2.805709425,0,5.519414788
case_063_0000,2.812723869,2.828631792,0,5.641355661
case_064_0000,2.720105053,2.810122578,0,5.530227631
